"1","Đâu là phép tính số 6?","6"
"2","Đâu là phép tính số 2?","2"
"3","Đâu là phép tính số 5?","5"
"4","Đâu là phép tính số 9?","9"
"5","Đâu là phép tính số 3?","3"
"6","Đâu là phép tính số 8?","8"
"7","Đâu là phép tính số 4?","4"
"8","Đâu là phép tính số 7?","7"
"9","Đâu là phép tính số 10?","10"
"10","Một con mèo có mấy cái chân?","4"
"11","MỘt con gà mỗi ngày đẻ ra 1 quả trứng vàng. Hỏi số trứng có được sau 1 tuần?","7"
"12","Bống có 1 em trai và 1 em gái. Hỏi bố mẹ của Bống có bao nhiêu đứa con?","3"
"13","Trong một bữa tiệc có 3 người đàn ông và 5 người phụ nữ. Hỏi trong bữa tiệc đó có tất cả bao nhiêu người?","8"
"14","Tí ăn 2 cái kẹo sữa và 3 cái kẹo sô cô la. Hỏi Tí đã ăn bao nhiêu cái kẹo?","5"
"15","Một con vịt xòe ra mấy cái cánh?","2"
"16","Hai bàn tay có mấy ngón tay?","10"
"17","Năm nay Cún 6 tuổi. Bi hơn Cún 3 tuổi. Hỏi Bi bao nhiêu tuổi?","9"
"18","Từ Hà Nội vào Thanh Hóa mất 3 giờ đồng hồ, từ Thanh Hóa vào Nghệ An cũng mất thời gian như thế. Vậy từ Hà Nội vào Nghệ An mất bao lâu?","6"
